TransactionID	Date	StoreID	StoreName	Region	ProductID	ProductName	Category	Quantity	UnitPrice	Discount	NetSale	TotalCost	Profit
T1000000	2023-07-16	S038	Store_038	Central	P0108	Prod_0108	Electronics	4	450.94	0.05			
T1000001	2024-10-01	S005	Store_005	South	P0122	Prod_0122	Electronics	3	291.17	0.15			
T1000002	2024-06-16	S020	Store_020	North	P0192	Prod_0192	Food	7	767.0	0.0			
T1000003	2023-02-13	S005	Store_005	South	P0072	Prod_0072	Household	8	364.06	0.05			
T1000004	2025-01-11	S036	Store_036	North	P0126	Prod_0126	Food	2	598.95	0.0			
T1000005	2023-09-19	S046	Store_046	East	P0042	Prod_0042	Household	5	367.42	0.0			
T1000006	2025-05-27	S019	Store_019	South	P0047	Prod_0047	Food	5	228.96	0.05			
T1000007	2024-07-07	S028	Store_028	South	P0147	Prod_0147	Stationery	4	180.96	0.05			
T1000008	2023-07-14	S006	Store_006	East	P0148	Prod_0148	Electronics	6	640.61	0.2			
T1000009	2024-04-08	S040	Store_040	East	P0071	Prod_0071	Household	2	246.6	0.0			
T1000010	2024-12-01	S017	Store_017	Central	P0114	Prod_0114	Clothing	7	461.47	0.2			
T1000011	2023-05-31	S041	Store_041	South	P0017	Prod_0017	Clothing	9	294.46	0.05			
T1000012	2025-01-26	S027	Store_027	East	P0200	Prod_0200	Food	1	190.95	0.0			
T1000013	2024-02-19	S014	Store_014	West	P0001	Prod_0001	Electronics	4	555.37	0.0			
T1000014	2023-02-02	S012	Store_012	North	P0116	Prod_0116	Toys	9	516.09	0.0			
T1000015	2023-04-16	S031	Store_031	South	P0166	Prod_0166	Food	7	731.55	0.15			
T1000016	2024-08-18	S027	Store_027	East	P0117	Prod_0117	Beverages	4	634.71	0.0			
T1000017	2023-04-09	S011	Store_011	Central	P0034	Prod_0034	Food	2	236.79	0.0			
T1000018	2024-06-22	S005	Store_005	South	P0049	Prod_0049	Electronics	7	68.69	0.1			
T1000019	2024-04-06	S025	Store_025	South	P0014	Prod_0014	Household	6	360.28	0.0			
T1000020	2025-02-27	S012	Store_012	North	P0122	Prod_0122	Electronics	2	265.34	0.2			
T1000021	2025-06-21	S018	Store_018	North	P0076	Prod_0076	Food	5	687.75	0.0			
T1000022	2025-09-08	S009	Store_009	South	P0045	Prod_0045	Electronics	5	949.66	0.0			
T1000023	2023-02-18	S022	Store_022	East	P0001	Prod_0001	Electronics	7	594.77	0.05			
T1000024	2025-04-12	S037	Store_037	West	P0134	Prod_0134	Beverages	1	297.87	0.0			
T1000025	2025-05-03	S025	Store_025	South	P0120	Prod_0120	Electronics	7	553.05	0.0			
T1000026	2023-09-13	S013	Store_013	East	P0131	Prod_0131	Toys	4	151.18	0.0			
T1000027	2025-04-08	S048	Store_048	North	P0105	Prod_0105	Food	4	702.38	0.0			
T1000028	2025-09-12	S034	Store_034	East	P0194	Prod_0194	Food	5	525.49	0.2			
T1000029	2025-09-22	S025	Store_025	South	P0187	Prod_0187	Beverages	4	551.61	0.05			
T1000030	2024-12-03	S025	Store_025	South	P0116	Prod_0116	Toys	8	626.15	0.15			
T1000031	2023-02-05	S028	Store_028	South	P0094	Prod_0094	Toys	2	275.27	0.05			
T1000032	2025-06-10	S039	Store_039	Central	P0101	Prod_0101	Clothing	6	441.51	0.0			
T1000033	2025-01-26	S010	Store_010	South	P0013	Prod_0013	Electronics	2	779.89	0.0			
T1000034	2024-08-17	S008	Store_008	East	P0037	Prod_0037	Toys	1	470.71	0.0			
T1000035	2024-11-15	S024	Store_024	Central	P0051	Prod_0051	Toys	3	225.59	0.0			
T1000036	2024-08-28	S026	Store_026	North	P0059	Prod_0059	Household	3	232.39	0.0			
T1000037	2023-02-16	S018	Store_018	North	P0020	Prod_0020	Food	3	823.75	0.0			
