日付	商品	カテゴリ	数量	単価	売上
2025-01-01	りんご	果物	13	147	
2025-01-01	みかん	果物	1	423	
2025-01-01	バナナ	果物	4	459	
2025-01-01	ぶどう	果物	10	311	
2025-01-01	メロン	果物	19	392	
2025-01-02	りんご	果物	7	188	
2025-01-02	みかん	果物	13	414	
2025-01-02	バナナ	果物	2	139	
2025-01-02	ぶどう	果物	15	188	
2025-01-02	メロン	果物	18	265	
2025-01-03	りんご	果物	14	172	
2025-01-03	みかん	果物	10	215	
2025-01-03	バナナ	果物	17	343	
2025-01-03	ぶどう	果物	6	435	
2025-01-03	メロン	果物	16	438	
2025-01-04	りんご	果物	4	277	
2025-01-04	みかん	果物	15	388	
2025-01-04	バナナ	果物	2	365	
2025-01-04	ぶどう	果物	1	131	
2025-01-04	メロン	果物	11	344	
2025-01-05	りんご	果物	4	470	
2025-01-05	みかん	果物	3	228	
2025-01-05	バナナ	果物	1	153	
2025-01-05	ぶどう	果物	6	138	
2025-01-05	メロン	果物	9	344	
2025-01-06	りんご	果物	18	435	
2025-01-06	みかん	果物	5	205	
2025-01-06	バナナ	果物	11	131	
2025-01-06	ぶどう	果物	2	421	
2025-01-06	メロン	果物	8	157	
2025-01-07	りんご	果物	4	458	
2025-01-07	みかん	果物	12	182	
2025-01-07	バナナ	果物	1	498	
2025-01-07	ぶどう	果物	4	153	
2025-01-07	メロン	果物	13	221	
2025-01-08	りんご	果物	11	184	
2025-01-08	みかん	果物	12	424	
2025-01-08	バナナ	果物	7	147	
2025-01-08	ぶどう	果物	4	456	
2025-01-08	メロン	果物	9	434	
2025-01-09	りんご	果物	16	248	
2025-01-09	みかん	果物	4	379	
2025-01-09	バナナ	果物	16	497	
2025-01-09	ぶどう	果物	17	405	
2025-01-09	メロン	果物	6	269	
2025-01-10	りんご	果物	4	195	
2025-01-10	みかん	果物	6	194	
2025-01-10	バナナ	果物	1	469	
2025-01-10	ぶどう	果物	19	392	
2025-01-10	メロン	果物	3	404	
2025-01-11	りんご	果物	4	198	
2025-01-11	みかん	果物	11	468	
2025-01-11	バナナ	果物	8	301	
2025-01-11	ぶどう	果物	1	494	
2025-01-11	メロン	果物	19	143	
2025-01-12	りんご	果物	3	477	
2025-01-12	みかん	果物	3	162	
2025-01-12	バナナ	果物	4	322	
2025-01-12	ぶどう	果物	4	182	
2025-01-12	メロン	果物	15	327	
2025-01-13	りんご	果物	18	150	
2025-01-13	みかん	果物	15	141	
2025-01-13	バナナ	果物	2	136	
2025-01-13	ぶどう	果物	11	186	
2025-01-13	メロン	果物	12	460	
2025-01-14	りんご	果物	12	358	
2025-01-14	みかん	果物	17	132	
