EmpID	Name	StoreID	HireDate	Role
E0001	Emp_0001	S007	2017-05-01	Sales
E0002	Emp_0002	S020	2016-06-10	Support
E0003	Emp_0003	S035	2019-09-02	Sales
E0004	Emp_0004	S024	2019-10-06	Sales
E0005	Emp_0005	S019	2015-02-01	Cashier
E0006	Emp_0006	S032	2018-02-22	Support
E0007	Emp_0007	S045	2022-04-19	Cashier
E0008	Emp_0008	S016	2021-06-01	Manager
E0009	Emp_0009	S005	2021-11-24	Manager
E0010	Emp_0010	S024	2015-06-30	Stock
E0011	Emp_0011	S040	2019-05-31	Support
E0012	Emp_0012	S005	2016-12-12	Support
E0013	Emp_0013	S038	2018-10-09	Cashier
E0014	Emp_0014	S032	2018-08-19	Manager
E0015	Emp_0015	S009	2019-08-16	Stock
E0016	Emp_0016	S007	2021-06-14	Cashier
E0017	Emp_0017	S041	2021-07-16	Sales
E0018	Emp_0018	S005	2015-03-27	Cashier
E0019	Emp_0019	S043	2016-02-15	Stock
E0020	Emp_0020	S037	2022-03-19	Stock
E0021	Emp_0021	S028	2019-09-22	Cashier
E0022	Emp_0022	S031	2022-08-16	Support
E0023	Emp_0023	S018	2021-06-12	Sales
E0024	Emp_0024	S024	2016-08-08	Sales
E0025	Emp_0025	S033	2018-03-31	Support
E0026	Emp_0026	S001	2020-04-23	Manager
E0027	Emp_0027	S037	2021-08-10	Cashier
E0028	Emp_0028	S006	2022-10-28	Cashier
E0029	Emp_0029	S048	2015-04-14	Sales
E0030	Emp_0030	S029	2020-10-10	Sales
E0031	Emp_0031	S028	2020-03-31	Cashier
E0032	Emp_0032	S023	2022-02-06	Cashier
E0033	Emp_0033	S011	2022-04-29	Manager
E0034	Emp_0034	S012	2016-06-04	Support
E0035	Emp_0035	S003	2022-04-30	Manager
E0036	Emp_0036	S014	2020-04-06	Manager
E0037	Emp_0037	S016	2016-01-16	Sales
E0038	Emp_0038	S042	2017-01-24	Cashier
E0039	Emp_0039	S022	2019-01-28	Cashier
E0040	Emp_0040	S010	2017-04-11	Manager
E0041	Emp_0041	S031	2018-02-17	Stock
E0042	Emp_0042	S012	2020-02-20	Manager
E0043	Emp_0043	S038	2015-12-16	Cashier
E0044	Emp_0044	S011	2021-08-08	Support
E0045	Emp_0045	S015	2022-11-24	Support
E0046	Emp_0046	S017	2015-02-11	Sales
E0047	Emp_0047	S041	2020-06-01	Manager
E0048	Emp_0048	S022	2017-09-26	Manager
E0049	Emp_0049	S006	2019-11-15	Sales
E0050	Emp_0050	S024	2020-02-23	Support
E0051	Emp_0051	S039	2022-09-09	Cashier
E0052	Emp_0052	S011	2020-09-26	Cashier
E0053	Emp_0053	S038	2017-03-12	Support
E0054	Emp_0054	S046	2017-11-02	Sales
E0055	Emp_0055	S016	2018-01-22	Cashier
E0056	Emp_0056	S007	2017-08-25	Support
E0057	Emp_0057	S047	2021-09-23	Support
E0058	Emp_0058	S021	2015-10-05	Stock
E0059	Emp_0059	S010	2018-01-11	Stock
E0060	Emp_0060	S044	2022-04-25	Stock
E0061	Emp_0061	S047	2021-05-10	Stock
E0062	Emp_0062	S024	2022-08-02	Sales
E0063	Emp_0063	S040	2016-09-18	Manager
E0064	Emp_0064	S030	2020-09-05	Manager
E0065	Emp_0065	S020	2017-08-27	Cashier
E0066	Emp_0066	S036	2022-02-01	Sales
E0067	Emp_0067	S032	2022-03-15	Cashier
E0068	Emp_0068	S011	2019-08-25	Stock
E0069	Emp_0069	S005	2020-09-17	Support
E0070	Emp_0070	S049	2015-04-11	Manager
E0071	Emp_0071	S021	2020-06-21	Manager
E0072	Emp_0072	S038	2017-02-04	Sales
E0073	Emp_0073	S026	2020-03-26	Stock
E0074	Emp_0074	S039	2022-02-03	Sales
E0075	Emp_0075	S010	2016-05-08	Stock
E0076	Emp_0076	S036	2019-06-28	Support
E0077	Emp_0077	S028	2019-10-30	Stock
E0078	Emp_0078	S050	2017-08-26	Stock
E0079	Emp_0079	S032	2015-06-20	Stock
E0080	Emp_0080	S032	2019-11-27	Cashier
E0081	Emp_0081	S039	2017-12-30	Cashier
E0082	Emp_0082	S016	2016-08-28	Manager
E0083	Emp_0083	S010	2015-05-06	Sales
E0084	Emp_0084	S026	2021-05-13	Stock
E0085	Emp_0085	S010	2020-11-22	Stock
E0086	Emp_0086	S050	2016-03-26	Stock
E0087	Emp_0087	S003	2017-07-16	Support
E0088	Emp_0088	S025	2019-05-14	Sales
E0089	Emp_0089	S030	2017-07-14	Stock
E0090	Emp_0090	S041	2021-09-21	Cashier
E0091	Emp_0091	S045	2019-02-14	Stock
E0092	Emp_0092	S040	2018-01-16	Support
E0093	Emp_0093	S025	2020-02-20	Support
E0094	Emp_0094	S035	2018-09-03	Manager
E0095	Emp_0095	S046	2015-05-20	Cashier
E0096	Emp_0096	S041	2015-07-20	Sales
E0097	Emp_0097	S020	2021-10-13	Stock
E0098	Emp_0098	S012	2019-08-15	Stock
E0099	Emp_0099	S014	2015-02-13	Support
E0100	Emp_0100	S017	2016-08-30	Cashier
E0101	Emp_0101	S032	2019-08-26	Support
E0102	Emp_0102	S022	2019-01-26	Sales
E0103	Emp_0103	S038	2015-12-10	Cashier
E0104	Emp_0104	S006	2020-02-13	Manager
E0105	Emp_0105	S049	2015-07-10	Manager
E0106	Emp_0106	S026	2019-01-15	Manager
E0107	Emp_0107	S032	2017-04-09	Cashier
E0108	Emp_0108	S037	2021-07-15	Manager
E0109	Emp_0109	S033	2018-01-02	Manager
E0110	Emp_0110	S008	2015-02-03	Sales
E0111	Emp_0111	S032	2020-04-17	Cashier
E0112	Emp_0112	S006	2022-10-03	Stock
E0113	Emp_0113	S007	2019-09-25	Support
E0114	Emp_0114	S013	2022-06-25	Manager
E0115	Emp_0115	S020	2016-09-12	Manager
E0116	Emp_0116	S034	2019-08-09	Cashier
E0117	Emp_0117	S022	2020-04-02	Stock
E0118	Emp_0118	S037	2020-05-31	Cashier
E0119	Emp_0119	S045	2020-01-05	Stock
E0120	Emp_0120	S003	2020-01-03	Sales
E0121	Emp_0121	S044	2018-02-24	Manager
E0122	Emp_0122	S021	2022-12-19	Support
E0123	Emp_0123	S021	2015-12-13	Sales
E0124	Emp_0124	S004	2018-09-02	Support
E0125	Emp_0125	S039	2022-05-17	Support
E0126	Emp_0126	S023	2019-05-04	Manager
E0127	Emp_0127	S045	2018-06-11	Sales
E0128	Emp_0128	S040	2016-12-10	Cashier
E0129	Emp_0129	S010	2021-10-29	Support
E0130	Emp_0130	S033	2016-01-28	Support
E0131	Emp_0131	S040	2017-10-25	Sales
E0132	Emp_0132	S048	2019-02-11	Stock
E0133	Emp_0133	S018	2018-06-22	Sales
E0134	Emp_0134	S030	2019-08-11	Stock
E0135	Emp_0135	S015	2021-05-24	Sales
E0136	Emp_0136	S023	2020-10-05	Stock
E0137	Emp_0137	S033	2021-11-02	Manager
E0138	Emp_0138	S007	2022-02-01	Manager
E0139	Emp_0139	S030	2018-01-08	Support
E0140	Emp_0140	S016	2018-02-02	Sales
E0141	Emp_0141	S002	2020-05-27	Stock
E0142	Emp_0142	S017	2018-05-11	Manager
E0143	Emp_0143	S048	2020-08-29	Support
E0144	Emp_0144	S050	2018-12-08	Cashier
E0145	Emp_0145	S012	2015-06-18	Sales
E0146	Emp_0146	S004	2016-04-12	Cashier
E0147	Emp_0147	S013	2016-06-07	Stock
E0148	Emp_0148	S002	2021-12-12	Support
E0149	Emp_0149	S010	2015-01-25	Manager
E0150	Emp_0150	S003	2019-10-27	Manager
E0151	Emp_0151	S025	2017-11-29	Sales
E0152	Emp_0152	S022	2020-02-18	Stock
E0153	Emp_0153	S015	2016-02-09	Support
E0154	Emp_0154	S047	2020-09-17	Support
E0155	Emp_0155	S005	2015-06-09	Sales
E0156	Emp_0156	S016	2016-09-21	Manager
E0157	Emp_0157	S003	2015-01-20	Support
E0158	Emp_0158	S041	2018-04-05	Manager
E0159	Emp_0159	S003	2021-10-24	Stock
E0160	Emp_0160	S033	2016-12-01	Cashier
E0161	Emp_0161	S049	2020-10-15	Cashier
E0162	Emp_0162	S046	2018-04-10	Manager
E0163	Emp_0163	S037	2020-04-02	Sales
E0164	Emp_0164	S002	2017-02-26	Manager
E0165	Emp_0165	S042	2019-11-19	Cashier
E0166	Emp_0166	S014	2022-08-07	Support
E0167	Emp_0167	S013	2017-12-25	Cashier
E0168	Emp_0168	S047	2015-05-30	Manager
E0169	Emp_0169	S009	2019-04-11	Support
E0170	Emp_0170	S048	2018-03-22	Support
E0171	Emp_0171	S049	2019-09-09	Stock
E0172	Emp_0172	S010	2021-06-13	Manager
E0173	Emp_0173	S030	2017-08-10	Sales
E0174	Emp_0174	S032	2020-08-13	Manager
E0175	Emp_0175	S047	2019-09-19	Cashier
E0176	Emp_0176	S026	2020-02-28	Cashier
E0177	Emp_0177	S035	2018-11-11	Stock
E0178	Emp_0178	S010	2022-08-05	Support
E0179	Emp_0179	S016	2016-04-24	Cashier
E0180	Emp_0180	S034	2018-06-08	Cashier
E0181	Emp_0181	S006	2022-05-03	Stock
E0182	Emp_0182	S036	2016-03-11	Manager
E0183	Emp_0183	S033	2015-09-23	Cashier
E0184	Emp_0184	S044	2018-12-28	Stock
E0185	Emp_0185	S035	2021-03-04	Support
E0186	Emp_0186	S043	2020-04-16	Manager
E0187	Emp_0187	S038	2022-08-14	Manager
E0188	Emp_0188	S002	2022-11-24	Sales
E0189	Emp_0189	S008	2017-08-12	Cashier
E0190	Emp_0190	S032	2017-09-01	Cashier
E0191	Emp_0191	S015	2021-10-06	Stock
E0192	Emp_0192	S015	2016-08-18	Sales
E0193	Emp_0193	S008	2020-01-28	Support
E0194	Emp_0194	S006	2019-07-30	Stock
E0195	Emp_0195	S016	2019-04-25	Cashier
E0196	Emp_0196	S021	2019-08-15	Manager
E0197	Emp_0197	S021	2018-03-23	Cashier
E0198	Emp_0198	S020	2021-09-29	Cashier
E0199	Emp_0199	S032	2022-02-10	Sales
E0200	Emp_0200	S030	2018-11-28	Manager
E0201	Emp_0201	S007	2019-02-10	Stock
E0202	Emp_0202	S018	2018-08-07	Support
E0203	Emp_0203	S004	2018-11-13	Manager
E0204	Emp_0204	S007	2017-09-21	Cashier
E0205	Emp_0205	S027	2017-04-30	Cashier
E0206	Emp_0206	S007	2018-07-05	Support
E0207	Emp_0207	S012	2016-03-27	Sales
E0208	Emp_0208	S017	2022-04-01	Sales
E0209	Emp_0209	S006	2022-09-13	Stock
E0210	Emp_0210	S021	2021-10-22	Sales
E0211	Emp_0211	S048	2016-11-14	Stock
E0212	Emp_0212	S048	2022-11-05	Sales
E0213	Emp_0213	S047	2021-02-04	Sales
E0214	Emp_0214	S008	2019-04-14	Stock
E0215	Emp_0215	S014	2018-03-06	Manager
