StoreID	StoreName	Region	OpenDate	Manager
S001	Store_001	North	2021-07-23	Manager_073
S002	Store_002	West	2021-09-22	Manager_076
S003	Store_003	North	2019-06-24	Manager_163
S004	Store_004	South	2021-05-04	Manager_076
S005	Store_005	East	2021-11-23	Manager_125
S006	Store_006	Central	2020-10-18	Manager_168
S007	Store_007	West	2019-12-02	Manager_261
S008	Store_008	East	2020-08-09	Manager_052
S009	Store_009	East	2018-09-15	Manager_059
S010	Store_010	Central	2022-04-21	Manager_089
S011	Store_011	Central	2019-05-16	Manager_212
S012	Store_012	South	2022-12-01	Manager_081
S013	Store_013	Central	2019-07-19	Manager_051
S014	Store_014	Central	2021-01-01	Manager_208
S015	Store_015	South	2020-06-03	Manager_137
S016	Store_016	East	2018-11-06	Manager_272
S017	Store_017	South	2018-11-06	Manager_248
S018	Store_018	South	2020-06-27	Manager_249
S019	Store_019	East	2018-08-06	Manager_186
S020	Store_020	South	2021-12-31	Manager_253
S021	Store_021	East	2021-10-12	Manager_084
S022	Store_022	North	2018-09-05	Manager_289
S023	Store_023	East	2018-11-01	Manager_077
S024	Store_024	East	2020-10-15	Manager_035
S025	Store_025	Central	2018-06-03	Manager_247
S026	Store_026	West	2020-01-17	Manager_169
S027	Store_027	South	2020-01-12	Manager_126
S028	Store_028	South	2018-11-25	Manager_230
S029	Store_029	East	2022-05-28	Manager_225
S030	Store_030	North	2021-04-06	Manager_150
S031	Store_031	West	2018-11-22	Manager_209
S032	Store_032	North	2019-04-22	Manager_203
S033	Store_033	West	2020-11-07	Manager_144
S034	Store_034	East	2020-12-11	Manager_149
S035	Store_035	West	2021-11-21	Manager_188
S036	Store_036	South	2020-08-16	Manager_251
S037	Store_037	West	2020-03-13	Manager_063
S038	Store_038	North	2021-10-16	Manager_246
S039	Store_039	Central	2020-10-19	Manager_064
S040	Store_040	West	2021-04-19	Manager_051
S041	Store_041	South	2021-03-25	Manager_250
S042	Store_042	East	2019-08-19	Manager_220
S043	Store_043	North	2018-11-12	Manager_050
S044	Store_044	North	2022-01-02	Manager_047
S045	Store_045	West	2020-09-12	Manager_079
S046	Store_046	North	2018-01-19	Manager_059
S047	Store_047	East	2020-02-21	Manager_235
S048	Store_048	South	2021-01-28	Manager_212
S049	Store_049	Central	2022-11-11	Manager_098
S050	Store_050	North	2018-07-03	Manager_087
